Country_ISO,Pays_FR,Country_EN,Region_FR,Region_EN,Ville_FR,City_EN,Population_Estimee_Ville
BJ,Benin,Benin,Littoral,Littoral,Cotonou,Cotonou,700000
BJ,Benin,Benin,Oueme,Oueme,Porto-Novo (capitale),Porto-Novo (capital),300000
BJ,Benin,Benin,Atlantique,Atlantique,Abomey-Calavi,Abomey-Calavi,655000
BJ,Benin,Benin,Borgou,Borgou,Parakou,Parakou,255000
BJ,Benin,Benin,Donga,Donga,Djougou,Djougou,267000
BJ,Benin,Benin,Zou,Zou,Bohicon,Bohicon,149000
BJ,Benin,Benin,Alibori,Alibori,Kandi,Kandi,128000
BJ,Benin,Benin,Mono,Mono,Lokossa,Lokossa,106000
BJ,Benin,Benin,Atacora,Atacora,Natitingou,Natitingou,104000
BJ,Benin,Benin,Borgou,Borgou,Nikki,Nikki,99000
BJ,Benin,Benin,Atlantique,Atlantique,Ouidah,Ouidah,94000
BJ,Benin,Benin,Zou,Zou,Abomey,Abomey,91000
BJ,Benin,Benin,Alibori,Alibori,Malanville,Malanville,82000
BJ,Benin,Benin,Plateau,Plateau,Pobe,Pobe,82000
BF,Burkina Faso,Burkina Faso,Centre,Centre,Ouagadougou (capitale),Ouagadougou (capital),2700000
BF,Burkina Faso,Burkina Faso,Hauts-Bassins,Hauts-Bassins,Bobo-Dioulasso,Bobo-Dioulasso,1000000
BF,Burkina Faso,Burkina Faso,Centre-Ouest,Centre-Ouest,Koudougou,Koudougou,168000
BF,Burkina Faso,Burkina Faso,Cascades,Cascades,Banfora,Banfora,136000
BF,Burkina Faso,Burkina Faso,Nord,North,Ouahigouya,Ouahigouya,124000
BF,Burkina Faso,Burkina Faso,Centre-Nord,Centre-Nord,Kaya,Kaya,121000
BF,Burkina Faso,Burkina Faso,Centre-Est,Centre-Est,Tenkodogo,Tenkodogo,71000
BF,Burkina Faso,Burkina Faso,Est,East,Fada N'Gourma,Fada N'Gourma,67000
BF,Burkina Faso,Burkina Faso,Boucle du Mouhoun,Boucle du Mouhoun,Dedougou,Dedougou,55000
BF,Burkina Faso,Burkina Faso,Sahel,Sahel,Dori,Dori,50000
CV,Cap-Vert,Cabo Verde,Santiago,Santiago,Praia (capitale),Praia (capital),159000
CV,Cap-Vert,Cabo Verde,Sao Vicente,Sao Vicente,Mindelo,Mindelo,70000
CV,Cap-Vert,Cabo Verde,Sal,Sal,Santa Maria,Santa Maria,26000
CV,Cap-Vert,Cabo Verde,Santiago,Santiago,Assomada,Assomada,45000
CV,Cap-Vert,Cabo Verde,Santiago,Santiago,Pedra Badejo,Pedra Badejo,16000
CV,Cap-Vert,Cabo Verde,Santiago,Santiago,Tarrafal,Tarrafal,12000
CV,Cap-Vert,Cabo Verde,Sal,Sal,Espargos,Espargos,25000
CV,Cap-Vert,Cabo Verde,Santo Antao,Santo Antao,Porto Novo,Porto Novo,17000
CV,Cap-Vert,Cabo Verde,Fogo,Fogo,Sao Filipe,Sao Filipe,9000
CV,Cap-Vert,Cabo Verde,Boa Vista,Boa Vista,Sal Rei,Sal Rei,6000
CI,Cote d'Ivoire,Ivory Coast,Lagunes,Lagunes,Abidjan,Abidjan,5600000
CI,Cote d'Ivoire,Ivory Coast,District de Yamoussoukro,Yamoussoukro District,Yamoussoukro (capitale),Yamoussoukro (capital),423000
CI,Cote d'Ivoire,Ivory Coast,Vallee du Bandama,Bandama Valley,Bouake,Bouake,740000
CI,Cote d'Ivoire,Ivory Coast,Goh,Goh,Gagnoa,Gagnoa,277000
CI,Cote d'Ivoire,Ivory Coast,Savanes,Savanes,Korhogo,Korhogo,441000
CI,Cote d'Ivoire,Ivory Coast,Haut-Sassandra,Haut-Sassandra,Daloa,Daloa,420000
CI,Cote d'Ivoire,Ivory Coast,Bas-Sassandra,Bas-Sassandra,San-Pedro,San-Pedro,391000
CI,Cote d'Ivoire,Ivory Coast,Tonkpi,Tonkpi,Man,Man,189000
CI,Cote d'Ivoire,Ivory Coast,Nawa,Nawa,Soubre,Soubre,175000
CI,Cote d'Ivoire,Ivory Coast,Lagunes,Lagunes,Anyama,Anyama,149000
CI,Cote d'Ivoire,Ivory Coast,Gontougo,Gontougo,Bondoukou,Bondoukou,142000
GM,Gambie,Gambia,West Coast,West Coast,Serekunda,Serekunda,340000
GM,Gambie,Gambia,West Coast,West Coast,Brikama,Brikama,112000
GM,Gambie,Gambia,Banjul,Banjul,Banjul (capitale),Banjul (capital),35000
GM,Gambie,Gambia,Kanifing,Kanifing,Bakau,Bakau,43000
GM,Gambie,Gambia,North Bank,North Bank,Farafenni,Farafenni,29000
GM,Gambie,Gambia,West Coast,West Coast,Lamin,Lamin,28000
GM,Gambie,Gambia,Lower River,Lower River,Soma,Soma,20000
GM,Gambie,Gambia,Upper River,Upper River,Basse Santa Su,Basse Santa Su,19000
GM,Gambie,Gambia,West Coast,West Coast,Gunjur,Gunjur,15000
GM,Gambie,Gambia,West Coast,West Coast,Sukuta,Sukuta,13000
GH,Ghana,Ghana,Greater Accra,Greater Accra,Accra (capitale),Accra (capital),2600000
GH,Ghana,Ghana,Ashanti,Ashanti,Kumasi,Kumasi,2000000
GH,Ghana,Ghana,Northern,Northern,Tamale,Tamale,950000
GH,Ghana,Ghana,Western,Western,Sekondi-Takoradi,Sekondi-Takoradi,445000
GH,Ghana,Ghana,Greater Accra,Greater Accra,Tema,Tema,300000
GH,Ghana,Ghana,Ashanti,Ashanti,Obuasi,Obuasi,180000
GH,Ghana,Ghana,Central,Central,Cape Coast,Cape Coast,169000
GH,Ghana,Ghana,Eastern,Eastern,Koforidua,Koforidua,183000
GH,Ghana,Ghana,Volta,Volta,Ho,Ho,180000
GH,Ghana,Ghana,Greater Accra,Greater Accra,Madina,Madina,150000
GH,Ghana,Ghana,Upper East,Upper East,Bolgatanga,Bolgatanga,131000
GH,Ghana,Ghana,Upper West,Upper West,Wa,Wa,127000
GN,Guinee,Guinea,Conakry,Conakry,Conakry (capitale),Conakry (capital),2000000
GN,Guinee,Guinea,Nzerekore,Nzerekore,Nzerekore,Nzerekore,220000
GN,Guinee,Guinea,Kankan,Kankan,Kankan,Kankan,370000
GN,Guinee,Guinea,Kindia,Kindia,Maneah,Maneah,167000
GN,Guinee,Guinea,Boke,Boke,Dubreka,Dubreka,157000
GN,Guinee,Guinea,Kindia,Kindia,Kindia,Kindia,139000
GN,Guinee,Guinea,Kankan,Kankan,Siguiri,Siguiri,127000
