N,Fonction (Français),Function (English),Abréviation
1,Directeur Général / Président-Directeur Général,Chief Executive Officer,PDG / CEO
2,Directeur Financier,Chief Financial Officer,DAF / CFO
3,Directeur des Opérations,Chief Operating Officer,DGO / COO
4,Directeur Technique,Chief Technology Officer,DT / CTO
5,Directeur des Systèmes d'Information,Chief Information Officer,DSI / CIO
6,Directeur Marketing,Chief Marketing Officer,DM / CMO
7,Directeur des Ressources Humaines,Chief Human Resources Officer,DRH / CHRO
8,Directeur Juridique,Chief Legal Officer / General Counsel,DJ / CLO
9,Directeur des Risques,Chief Risk Officer,DR / CRO
10,Directeur de la Conformité,Chief Compliance Officer,DC / CCO
11,Directeur Commercial,Chief Sales Officer,DC / CSO
12,Directeur de la Stratégie,Chief Strategy Officer,DS / CSO
13,Directeur des Données,Chief Data Officer,DD / CDO
14,Directeur des Produits,Chief Product Officer,DP / CPO
15,Directeur de la Communication,Chief Communications Officer,DirCom / CCO
16,Secrétaire Général,Chief Administrative Officer,SG / CAO
17,Président du Conseil d'Administration,Chairman of the Board,Président / Chairman
18,Vice-Président,Vice President,VP
19,Directeur Exécutif,Executive Director,DE / ED
20,Directeur Général (filiale ou division),Managing Director,DG / MD
